"filename", "language", "Python", "HTML", "SCSS", "JavaScript", "Markdown", "CSS", "XML", "PHP", "JSON", "pip requirements", "JSON with Comments", "comment", "blank", "total"
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/purchaseOfColorStoneFormCount.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/purchaseOfDiamondFormCount.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/return_cs.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/return_d.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 20
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/returnj.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/salereturncolorstones.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/salereturndiamond.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/salereturnjewellery.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/show_colorstone_form.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/show_data.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/show_diamond_form.html", "HTML", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 92
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/show_jewel_form.html", "HTML", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 69
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/show_sell_cs_table.html", "HTML", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 86
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/show_sell_diamond_table.html", "HTML", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 113
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/show_sell_jewel_table.html", "HTML", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 83
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/showcart.html", "HTML", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 134
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/showcart_cs.html", "HTML", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 140
